"Collection Name","Title#1","Name#1","Name URI#1","Name and Role#1","NameRoleAll URI#1","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Date Created#1","Date Captured#1","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Internet Media Type#1","Digital Origin#1","Form#2","Form URI#2","Form#3","Form URI#3","Form#4","Form URI#4","Abstract#1","Note#1","Note Type#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Geographic#1","Subject Geographic URI#1","Subject Temporal#1","Subject Temporal URI#1","Identifier ARK#1","Identifier#2","Physical Location#1","Shelf Locator#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Ira Current","10 plus minus 40","Current, Ira B.","http://id.loc.gov/authorities/names/n86145701","Current, Ira B.","Current, Ira B.#http://id.loc.gov/authorities/names/n86145701","Moving Image","http://purl.org/dc/dcmitype/MovingImage","Amateur films","http://id.loc.gov/authorities/genreForms/gf2011026038","1929/1972","N/A","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 film reel (16mm); black and white and color, silent; 35:00","video/mp4","reformatted digital","silent films","http://vocab.getty.edu/page/aat/300252071","film reels","http://vocab.getty.edu/page/aat/300400779","","","A collection of short films and footage from the history of the Agfa-Ansco/General Aniline and Film (GAE) company in Binghamton, New York. Includes a short tilted, ""Shipley Massingham Day at Agfa Ansco, Sept. 14, 1929: or the visit of Iliff Jones and his troupe of quota smashers,"" featuring a group of men arriving by train and walking through the Charles Street factory complex, as well as a scene of men running through a field intended to ""demonstrate the slow motion taking feature of the new amateur Ansco cine camera."" Reel also includes ""Quest for Water,"" footage of drilling and installing the Agfa water tower in 1935; many images of company employees working in chemistry development labs, in offices, and with large equipment; test footage of ""High Speed 16mm Films"" and ""Super Anscochrome Tungsten,"" featuring sports footage and behind the scenes shots of Ansco models; news headlines about Ansco products; images of sales meetings from airline flights to presentations to dinner meetings; and recreation footage from the Agfa Ansco Athletic Association from the 1940s and '50s, including bike riding, family picnics, swimming at Agfa Lake, baseball games, performances, and Santa Claus greeting children.","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/mg7x5d46s35d","","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:491","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","57","4838","","https://cudl.colorado.edu//luna/servlet/detail/CUB~21~21~57~"
"Ira Current","4 Wheels/Two days at Nelson's Camp","Current, Ira B.","http://id.loc.gov/authorities/names/n86145701","Current, Ira B.","Current, Ira B.#http://id.loc.gov/authorities/names/n86145701","Moving Image","http://purl.org/dc/dcmitype/MovingImage","Amateur films","http://id.loc.gov/authorities/genreForms/gf2011026038","1929/1939","2020-03-11","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 film reel (16mm); negative, black and white, silent; 12:00","video/mp4","reformatted digital","black-and-white films (visual works)","http://vocab.getty.edu/page/aat/300417958","silent films","http://vocab.getty.edu/page/aat/300252071","film reels","http://vocab.getty.edu/page/aat/300400779","Reel contains two titles. 4 Wheels: Title reads, ""Current Bros. present: 4 Wheels. A Gateway Picture."" Performers, Jack Livingston, George Livingston, Eugene Current, Lynn Current, Ricardo Courante, Elma Courante; director, Floyd Caton; titles, Richard Current; photographer, Ira Current. Humorous fiction film about box car racing, with intertitles, filmed on White Loaf Hill in Colorado Springs. / Two Days at Nelson Camp: producer, Ira B. Current; performers, Lenoard Cahoon, George Burnham, Howard B. Groff; director, R. Fate; titles, R. Courante. Fiction film set at Almagre Mountain in Colorado Springs, including mountain views, gold prospectors, and skiing. ","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/f97r0b33c041","","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:491","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","45","4838","","https://cudl.colorado.edu//luna/servlet/detail/CUB~21~21~45~"
"Ira Current","A cinema enterprise","Current, Ira B.","http://id.loc.gov/authorities/names/n86145701","Current, Ira B.","Current, Ira B.#http://id.loc.gov/authorities/names/n86145701","Moving Image","http://purl.org/dc/dcmitype/MovingImage","Amateur films","http://id.loc.gov/authorities/genreForms/gf2011026038","1950/1951","2020-02-24","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 film reel (16mm); first cut, black and white and color (sepia), sound (optical monoaural); 8:33","video/mp4","reformatted digital","sound films","http://vocab.getty.edu/page/aat/300417955","film reels","http://vocab.getty.edu/page/aat/300400779","","","A Gateway Picture; photographer, Ira B. Current. Reel contains hand-edited footage of the Current children at the family workbench, using tools and making drawings. Also includes close-up images of camera parts on the work bench and an extended sequence of Michael and Susan Current speaking into a microphone. ","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/5h2d2871q8hj","","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:491","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","32","4838","","https://cudl.colorado.edu//luna/servlet/detail/CUB~21~21~32~"
"Ira Current","A simple, safe method of cholecystectomy, abridged","Current, Ira B.","http://id.loc.gov/authorities/names/n86145701","Current, Ira B.","Current, Ira B.#http://id.loc.gov/authorities/names/n86145701","Moving Image","http://purl.org/dc/dcmitype/MovingImage","Amateur films","http://id.loc.gov/authorities/genreForms/gf2011026038","1956","2020-02-17","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 film reel (16mm); color, sound (magnetic); 6:46","video/mp4","reformatted digital","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","sound films","http://vocab.getty.edu/page/aat/300417955","film reels","http://vocab.getty.edu/page/aat/300400779","Photographer, Ira B. Current. A film about gall bladder surgery featuring illustrated drawings and close-up footage of surgery conducted by Dr. Hyman Sneierson and Dr. John Cunningham of Binghamton, New York. Also includes German-language title card describing the shooting equipment and conditions. Container notes include: ""Anschcrome Tungsten T-232 exposed at Exposure Index 32. Actual camera exposure: Cine Kodak Special at 24 fps, 1/50, f:8. Operating room castle lights - no supplemental lighting. 4-inch lens. Printed on Ansco Color Duplicating T-238."" ","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/kh1t4h73x41k","","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:491","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","30","4838","","https://cudl.colorado.edu//luna/servlet/detail/CUB~21~21~30~"
"Ira Current","A simple, safe method of cholecystectomy, part 1","Current, Ira B.","http://id.loc.gov/authorities/names/n86145701","Current, Ira B.","Current, Ira B.#http://id.loc.gov/authorities/names/n86145701","Moving Image","http://purl.org/dc/dcmitype/MovingImage","Amateur films","http://id.loc.gov/authorities/genreForms/gf2011026038","1956","2020-02-03","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 film reel (16mm); color, sound (optical, multichannel); 10:55","video/mp4","reformatted digital","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","sound films","http://vocab.getty.edu/page/aat/300417955","film reels","http://vocab.getty.edu/page/aat/300400779","Photographer, Ira B. Current. A film about gall bladder surgery featuring illustrated drawings and close-up footage of surgery conducted by Dr. Hyman Sneierson and Dr. John Cunningham of Binghamton, New York. ","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/m6368f72d16g","","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:491","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","4","4838","","https://cudl.colorado.edu//luna/servlet/detail/CUB~21~21~4~"
"Ira Current","A simple, safe method of cholecystectomy, part 2","Current, Ira B.","http://id.loc.gov/authorities/names/n86145701","Current, Ira B.","Current, Ira B.#http://id.loc.gov/authorities/names/n86145701","Moving Image","http://purl.org/dc/dcmitype/MovingImage","Amateur films","http://id.loc.gov/authorities/genreForms/gf2011026038","1956","2020-01-31","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 film reel (16mm); color, sound (optical multichannel); 11:11","video/mp4","reformatted digital","color films (visual works)","http://vocab.getty.edu/page/aat/300417957","sound films","http://vocab.getty.edu/page/aat/300417955","film reels","http://vocab.getty.edu/page/aat/300400779","Photographer, Ira B. Current. A film about gall bladder surgery featuring illustrated drawings and close-up footage of surgery conducted by Dr. Hyman Sneierson and Dr. John Cunningham of Binghamton, New York. ","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/p20d6k9938md","","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:491","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","3","4838","","https://cudl.colorado.edu//luna/servlet/detail/CUB~21~21~3~"
"Ira Current","Agfa picnic","Current, Ira B.","http://id.loc.gov/authorities/names/n86145701","Current, Ira B.","Current, Ira B.#http://id.loc.gov/authorities/names/n86145701","Moving Image","http://purl.org/dc/dcmitype/MovingImage","Amateur films","http://id.loc.gov/authorities/genreForms/gf2011026038","1938","N/A","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 film reel (16mm); black and white, silent; 12:00","video/mp4","reformatted digital","black-and-white films (visual works)","http://vocab.getty.edu/page/aat/300417958","silent films","http://vocab.getty.edu/page/aat/300252071","film reels","http://vocab.getty.edu/page/aat/300400779","Notes from container include: ""Agfa picnic, July 1938; Andersons Owasco Lake, August 1938; sailboats; Jungle trip and boats."" Reel contains hand-edited footage of people at an outdoor picnic in a country landscape, as well as a group of men and women on a beach, launching a rowboat from a dock, and hiking in the woods. Also includes images of sailboats and a woman reading in a swimsuit. ","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/v6921098s0d2","","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:491","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","43","4838","","https://cudl.colorado.edu//luna/servlet/detail/CUB~21~21~43~"
"Ira Current","Ansco - 16","Current, Ira B.","http://id.loc.gov/authorities/names/n86145701","Current, Ira B.","Current, Ira B.#http://id.loc.gov/authorities/names/n86145701","Moving Image","http://purl.org/dc/dcmitype/MovingImage","Amateur films","http://id.loc.gov/authorities/genreForms/gf2011026038","1949/1950","N/A","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 film reel (16mm); black and white, silent; 8:38","video/mp4","reformatted digital","black-and-white films (visual works)","http://vocab.getty.edu/page/aat/300417958","silent films","http://vocab.getty.edu/page/aat/300252071","film reels","http://vocab.getty.edu/page/aat/300400779","Notes from container include, ""Standards dept people (1949?); lab activities (1950?)."" Reel contains footage from the Agfa Ansco film company, including men and women working in offices and development laboratories, a technician using a microscope and examining x-rays, behind the scenes views of a woman posing for a still photography camera, close-up images of Ansco color film supplies, and text explaining the use of a light meter. ","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/1g025w16f8nr","","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:491","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","40","4838","","https://cudl.colorado.edu//luna/servlet/detail/CUB~21~21~40~"
"Ira Current","Armed forces day","Current, Ira B.","http://id.loc.gov/authorities/names/n86145701","Current, Ira B.","Current, Ira B.#http://id.loc.gov/authorities/names/n86145701","Moving Image","http://purl.org/dc/dcmitype/MovingImage","Amateur films","http://id.loc.gov/authorities/genreForms/gf2011026038","1960s","2020-03-04","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 film reel (16mm); negative, black and white, silent; 11:07","video/mp4","reformatted digital","black-and-white films (visual works)","http://vocab.getty.edu/page/aat/300417958","silent films","http://vocab.getty.edu/page/aat/300252071","film reels","http://vocab.getty.edu/page/aat/300400779","Notes from container include: ""Original neg: Armed Forces Day. Also: Richard, Susan, Construction. Engine exhibit, awards, foundation."" Reel contains home movie footage of an unidentified military parade on a downtown street, including marching bands and decorated cars. Also includes exhibits on technology at the United States Navy and Marine Corp Reserve Training Center, as well as images of Susan and Brian Current, and Ira Current's brother, Richard. ","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/rx4z5s60d0m6","","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:491","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","35","4838","","https://cudl.colorado.edu//luna/servlet/detail/CUB~21~21~35~"
"Ira Current","Arms and the man","Current, Ira B.","http://id.loc.gov/authorities/names/n86145701","Current, Ira B.","Current, Ira B.#http://id.loc.gov/authorities/names/n86145701","Moving Image","http://purl.org/dc/dcmitype/MovingImage","Amateur films","http://id.loc.gov/authorities/genreForms/gf2011026038","1954","2020-08-03","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 film reel (16mm); black and white, silent; 10:00","video/mp4","reformatted digital","black-and-white films (visual works)","http://vocab.getty.edu/page/aat/300417958","silent films","http://vocab.getty.edu/page/aat/300252071","film reels","http://vocab.getty.edu/page/aat/300400779","Footage of a stage performance of the George Bernard Shaw play, possibly the Colonial Players of Harpur College in Binghamton, New York. ","","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/mg091582v7g0","","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:491","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","56","4838","","https://cudl.colorado.edu//luna/servlet/detail/CUB~21~21~56~"
